MATCHKEY,DELQID,CRELIM,goodbad
1847546,1,3600,0
2826302,0,6000,0
1933137,2,3000,0
16095340,7,1000,1
14332242,2,300,0
11293258,0,1750,0
16228446,0,3250,0
15379875,4,500,1
13114243,0,2500,0
5169364,1,2500,0
5309320,7,1750,1
10028834,7,1750,1
3081520,7,5250,1
17075932,5,1000,1
13739731,0,3250,0
14243837,0,3000,0
11281773,0,2500,0
15016037,0,1000,0
11281270,0,3250,0
5257551,0,5000,0
5400822,0,3250,0
16049273,0,1500,0
14395363,0,2250,0
14078888,0,1000,0
13076430,1,2500,0
11315040,0,1000,0
13435759,2,1750,0
2476225,0,5750,0
11637551,0,3250,0
1731986,0,6000,0
13946697,1,400,0
13752808,0,1750,0
4322933,2,300,0
16067166,0,1000,0
11346059,0,2000,0
5465324,0,3500,0
13667396,3,831,1
4593920,3,3500,1
12876860,5,1500,1
11286678,0,1000,0
14552712,0,3250,0
12966686,0,300,0
100407970,2,1250,0
2129537,0,4750,0
4072122,5,700,1
14460316,0,1000,0
13023305,0,3250,0
10022595,1,1500,0
4627128,1,4250,0
11411516,7,1300,1
4010530,0,500,0
15991465,0,1500,0
3883942,0,2750,0
16548181,7,1000,1
5167439,1,3500,0
1783340,0,5500,0
13785570,0,2750,0
1677380,0,2200,0
11442433,0,1019,0
100127180,0,1750,0
10702174,0,2000,0
15951404,0,2000,0
17031994,0,1750,0
16296827,0,500,0
4175715,0,1750,0
5187351,3,2000,1
14540839,0,2250,0
3316742,0,1906,0
2546987,0,5750,0
1689993,2,3300,0
14119939,2,3250,0
11491973,0,3500,0
16159882,0,1000,0
14911759,0,1000,0
12907499,0,3250,0
14526079,0,1750,0
14745704,0,2000,0
14453841,0,1750,0
4176451,0,1200,0
14781636,0,500,0
14532440,7,1750,1
14276563,0,1750,0
100066772,0,3500,0
11314479,7,2750,1
10337185,0,2000,0
11613123,0,1750,0
2090178,0,5500,0
13094063,0,1750,0
13576908,0,2000,0
11399267,0,2500,0
2830998,1,5750,0
3328120,0,5750,0
4063558,0,1750,0
4743888,1,3000,0
16212558,7,1750,1
10330917,0,3250,0
5318513,0,3250,0
14605525,0,1000,0
14606467,0,2500,0
13903287,1,2500,0
16016544,0,1750,0
14936409,1,3250,0
14631879,0,1000,0
10353266,0,1000,0
11458822,7,1750,1
10267061,0,3250,0
5208274,0,2750,0
13514271,0,3250,0
13582106,7,1000,1
10043201,0,2750,0
13806788,0,1750,0
4116625,0,3750,0
14361398,4,400,1
13172651,7,3250,1
15980608,1,2000,0
15269876,1,950,0
14980150,0,1000,0
3834563,0,1000,0
2444213,0,3250,0
4428375,0,4800,0
12955985,0,1750,0
11553148,0,1000,0
14272602,4,1750,1
3066162,0,4750,0
1751287,1,1250,0
1928786,7,4500,1
4257397,1,1000,0
14541436,1,500,0
11386835,0,3250,0
16958823,2,500,0
13186209,0,1750,0
3162895,0,3150,0
13435606,0,1750,0
14196980,0,3250,0
13135600,0,2000,0
5398208,0,1750,0
11502135,0,2000,0
10737468,1,2000,0
4029450,7,3200,1
17160425,0,1500,0
13787112,1,1000,0
13057420,0,500,0
3663918,7,2000,1
14615858,0,1000,0
11529643,0,2250,0
11435933,1,2250,0
100253000,7,1750,1
15770636,1,500,0
13137145,0,2500,0
1564964,0,3250,0
4639255,0,2500,0
15893233,1,2250,0
1338454,1,6000,0
3081435,1,2300,0
4515414,1,4000,0
16723786,1,500,0
10337210,0,2000,0
13237688,0,3250,0
14562813,7,470,1
14168906,0,1000,0
2698477,0,5750,0
4607726,0,4250,0
15228026,1,700,0
14968959,7,2400,1
12973420,0,2750,0
5363457,0,3250,0
3802206,0,1650,0
5183602,1,2600,0
13935650,0,2500,0
14155371,0,3250,0
14719367,0,1000,0
12875509,0,3250,0
5463656,2,1250,0
12826386,0,2000,0
2096517,4,5500,1
14912120,0,2500,0
10339823,0,4000,0
13580736,0,1750,0
14461318,1,4750,0
10268122,3,4000,1
5441632,0,2000,0
11626009,2,2900,0
10020247,0,1750,0
13902681,0,1750,0
14808537,1,1000,0
14606062,0,2500,0
4065639,0,5250,0
14518841,0,300,0
13706510,0,500,0
11281919,0,3250,0
16066441,1,1000,0
13066654,0,1750,0
13460270,1,3250,0
13844964,0,2000,0
11313422,0,3250,0
13235728,1,3000,0
13764874,1,1000,0
14605128,1,1000,0
14217677,0,2250,0
13513718,0,3000,0
13696599,4,4250,1
13641719,0,5250,0
5252051,0,1600,0
4457345,0,4000,0
3046042,5,5700,1
10059885,1,3250,0
4248856,0,3250,0
2240122,0,4550,0
3693303,0,3000,0
3434461,7,2800,1
2861672,1,3750,0
11601118,0,2000,0
16548005,2,1250,0
13198500,0,1750,0
2673425,4,3250,1
5436131,1,1500,0
10028478,0,2250,0
2788889,0,6000,0
11308236,5,1900,1
11432187,7,1000,1
14196643,0,4500,0
10157821,0,1500,0
15227063,1,3250,0
15870999,0,2000,0
13136090,0,1000,0
10723174,0,814,0
100042109,0,2000,0
5284473,0,3250,0
4408146,0,6000,0
14626693,0,2250,0
3335319,0,700,0
5270993,0,1800,0
3830918,7,3900,1
16559349,0,3000,0
1525288,0,2000,0
16973969,0,1750,0
14176415,0,3250,0
5230036,1,2000,0
13982985,1,3250,0
4356415,0,1750,0
2389276,0,4250,0
13649418,0,2000,0
5371915,1,5000,0
5356724,2,1800,0
14022014,0,1500,0
5370219,0,3250,0
1837975,7,3100,1
3707832,0,5750,0
10735223,0,3000,0
14154696,1,1500,0
16749198,0,2250,0
10721302,7,2000,1
11452216,7,1500,1
14476724,1,3750,0
3037293,0,5500,0
13723740,0,2750,0
13767738,0,500,0
14496708,1,1000,0
11352269,0,1000,0
14120339,0,2250,0
13899535,1,2500,0
16154164,0,2750,0
10044869,0,1000,0
4480631,5,3000,1
