MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
10352326,284,15,43,AG_30_50,0,2000,0,22,95
11266459,2278,18,35,AG_30_50,0,1750,0,28,78
13697199,2591,20,24,AG_0_30,3,500,1,20,83
11515918,6629,12,73,AG_70_UP,2,2000,0,25,93
3462026,57,14,26,AG_0_30,7,2600,1,80,87
4770995,566,33,34,AG_30_50,7,2500,1,30,84
5390326,6822,8,45,AG_30_50,0,3250,0,35,99
100255370,1263,23,69,AG_50_70,7,1750,1,1,108
13302226,2159,25,29,AG_0_30,2,300,0,4,104
16810783,28212,36,46,AG_30_50,7,1000,1,2,116
16016904,0,23,59,AG_50_70,0,500,0,7,115
14067608,2919,32,44,AG_30_50,1,1500,0,18,116
13143187,6269,14,65,AG_50_70,2,886,0,14,110
14477233,10987,20,51,AG_50_70,0,1750,0,16,102
14756565,10732,22,76,AG_70_UP,1,0,0,12,108
4627086,26430,29,39,AG_30_50,0,2150,0,17,105
4774612,2051,16,55,AG_50_70,7,350,1,25,104
3059907,1437,8,28,AG_0_30,0,10000,0,84,102
4595587,5715,3,47,AG_30_50,0,3000,0,74,111
1700461,5143,11,41,AG_30_50,1,6000,0,101,108
11530756,15450,17,48,AG_30_50,0,1750,0,15,127
1438286,32699,13,34,AG_30_50,0,2000,0,11,138
5325551,1745,15,48,AG_30_50,7,2250,1,21,137
1955726,1942,19,47,AG_30_50,2,4000,0,72,131
100126262,3281,22,45,AG_30_50,2,1000,0,31,140
4710313,4017,22,73,AG_70_UP,0,1750,0,48,144
4364894,11064,21,61,AG_50_70,6,710,1,8,157
4643285,863,10,82,AG_70_UP,1,1400,0,13,188
15357948,4476,30,35,AG_30_50,1,1000,0,10,163
2728386,36215,23,73,AG_70_UP,2,2600,0,12,155
4724384,3715,17,41,AG_30_50,0,750,0,23,161
11305343,6549,21,88,AG_70_UP,0,1750,0,24,168
11292352,15185,14,43,AG_30_50,1,4250,0,1,214
14050307,9384,20,60,AG_50_70,1,2250,0,7,219
16041104,12703,28,48,AG_30_50,2,2700,0,7,202
13631548,15765,32,40,AG_30_50,7,1000,1,9,235
13847344,8,16,80,AG_70_UP,0,1750,0,19,201
13512518,4255,30,45,AG_30_50,0,4000,0,10,202
15374483,6127,25,47,AG_30_50,5,500,1,11,217
4717374,32363,13,73,AG_70_UP,0,2500,0,53,211
11407749,16036,19,70,AG_50_70,0,3250,0,1,256
4575218,0,15,38,AG_30_50,6,4250,1,58,254
13971590,12254,19,45,AG_30_50,5,2750,1,6,334
