,MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
139,1538046,2750,17,44,AG_30_50,0,2400,0,142,188
140,3143303,10404,17,70,AG_50_70,7,1200,1,59,182
141,12831275,3110,25,57,AG_50_70,0,2000,0,1,235
142,16014081,7604,37,55,AG_50_70,0,1000,0,2,247
143,14277382,1753,28,71,AG_70_UP,0,3500,0,8,210
144,13237425,36,10,60,AG_50_70,0,3250,0,22,215
145,4517687,1458,10,50,AG_30_50,7,1100,1,62,244
146,15411514,2112,24,73,AG_70_UP,0,5000,0,10,254
147,1569480,8368,28,53,AG_50_70,0,3500,0,27,299
148,100320806,4984,44,69,AG_50_70,1,1000,0,1,402
149,16684689,0,4,61,AG_50_70,0,1000,0,3,3
150,16535084,984,12,42,AG_30_50,7,1000,1,1,4
151,16073437,1730,7,22,AG_0_30,0,1750,0,4,22
152,16680993,1491,5,23,AG_0_30,1,1000,0,2,12
153,14333643,1360,23,34,AG_30_50,2,850,0,3,17
154,15859848,1037,2,24,AG_0_30,0,1500,0,8,8
155,16405614,1082,5,30,AG_0_30,7,1000,1,5,5
156,16590728,1211,9,50,AG_30_50,0,1500,0,6,7
157,13003093,2412,4,26,AG_0_30,1,2750,0,8,23
158,13838369,0,22,52,AG_50_70,0,2000,0,19,19
159,13904001,2646,3,41,AG_30_50,0,4250,0,19,19
160,13066709,2804,12,41,AG_30_50,0,2000,0,14,23
161,14053274,2658,20,21,AG_0_30,0,300,0,16,23
162,13642199,3767,11,42,AG_30_50,7,496,1,14,23
163,15362374,3018,17,24,AG_0_30,7,1000,1,10,14
164,13641100,514,9,22,AG_0_30,0,573,0,20,20
165,13542519,1999,2,34,AG_30_50,1,2000,0,20,20
166,16973344,10464,22,46,AG_30_50,0,2250,0,2,36
167,16095485,994,5,51,AG_50_70,0,1500,0,6,29
168,14439099,0,3,25,AG_0_30,7,1000,1,16,34
169,10130018,0,4,47,AG_30_50,0,3250,0,19,31
170,14662948,2326,6,22,AG_0_30,0,1000,0,15,40
171,15105312,4867,20,22,AG_0_30,1,2000,0,12,39
172,13596380,5184,15,50,AG_30_50,0,1003,0,10,47
173,11422518,6111,16,46,AG_30_50,0,3750,0,19,32
174,11348690,126,4,47,AG_30_50,0,1000,0,26,28
175,10353219,176,8,44,AG_30_50,0,2000,0,28,46
176,11366378,0,10,32,AG_30_50,0,1000,0,27,27
177,10109630,0,6,26,AG_0_30,0,3250,0,31,31
178,13212061,12527,11,72,AG_70_UP,0,972,0,1,66
179,11553401,419,10,28,AG_0_30,0,1000,0,10,59
180,14247048,1415,20,45,AG_30_50,3,500,1,15,66
181,11341394,12483,17,50,AG_30_50,7,2000,1,18,72
182,100084677,14339,27,45,AG_30_50,7,1750,1,14,67
183,4766739,803,8,56,AG_50_70,7,350,1,37,51
184,4610887,1470,8,23,AG_0_30,0,2250,0,45,67
185,4697299,1234,12,24,AG_0_30,5,3400,1,46,63
186,4770855,1610,11,44,AG_30_50,0,3250,0,45,60
187,4094826,4130,10,49,AG_30_50,1,1130,0,35,72
188,14700596,2597,24,49,AG_30_50,7,1750,1,4,84
189,11435048,10179,24,61,AG_50_70,0,1750,0,2,90
190,14821202,10765,50,36,AG_30_50,6,1000,1,0,93
191,3941700,778,10,41,AG_30_50,0,1750,0,9,88
192,3254969,1415,11,26,AG_0_30,2,750,0,6,84
193,4293454,4210,16,59,AG_50_70,0,1000,0,5,81
194,14814486,21521,36,29,AG_0_30,0,2250,0,7,94
195,13818498,552,18,25,AG_0_30,7,300,1,14,76
196,13543315,1809,16,32,AG_30_50,4,500,1,13,75
197,2007947,7031,20,61,AG_50_70,0,4000,0,14,96
198,10352326,284,15,43,AG_30_50,0,2000,0,22,95
199,11266459,2278,18,35,AG_30_50,0,1750,0,28,78
200,13697199,2591,20,24,AG_0_30,3,500,1,20,83
201,11515918,6629,12,73,AG_70_UP,2,2000,0,25,93
202,3462026,57,14,26,AG_0_30,7,2600,1,80,87
203,4770995,566,33,34,AG_30_50,7,2500,1,30,84
204,5390326,6822,8,45,AG_30_50,0,3250,0,35,99
205,100255370,1263,23,69,AG_50_70,7,1750,1,1,108
206,13302226,2159,25,29,AG_0_30,2,300,0,4,104
207,16810783,28212,36,46,AG_30_50,7,1000,1,2,116
208,16016904,0,23,59,AG_50_70,0,500,0,7,115
209,14067608,2919,32,44,AG_30_50,1,1500,0,18,116
