MATCHKEY,RBAL,TRADES,AGE
13511209,3389,34,59
16644413,13058,13,35
16013099,0,17,54
13581044,1533,16,55
13706890,8586,13,27
14333352,478,6,20
13165692,0,6,61
14525191,1160,8,65
11596386,3930,13,49
14204400,5447,5,33
11358735,803,4,39
10337654,0,3,92
11485164,0,14,72
11412870,2571,17,44
11434568,3517,7,50
10371551,14175,5,33
10017606,0,10,84
15480536,5966,10,47
5194789,3383,13,48
10722777,5689,30,47
4363332,0,7,49
10291611,563,10,38
11342220,0,19,51
10405333,449,7,33
11538648,328,6,43
11406763,2891,3,78
10737053,2394,9,67
10190116,3558,13,42
4717515,3258,14,71
3987167,2626,7,44
4695081,3271,6,34
4598591,5158,43,60
16590721,276,13,53
16199836,1845,6,27
15029056,1126,8,49
10160004,3829,29,53
17160221,5733,18,63
14051407,0,24,37
16144491,900,20,78
2380086,1122,7,52
11354138,10671,32,49
3582000,30291,24,37
4415747,989,13,30
13844472,0,11,71
14936675,593,16,39
13825643,3400,21,64
13176268,4476,16,36
14215071,8085,21,25
13209801,10307,18,52
4350248,14599,40,48
15015589,15841,13,50
5448781,12897,11,59
5276481,3234,7,53
100252763,1220,18,49
13944972,1007,9,22
4793871,14549,31,35
14096081,3385,26,62
13845735,3978,29,76
13165359,1016,19,28
10081273,9336,12,34
11393321,12354,10,42
1847546,2078,18,53
2826302,9480,13,47
1933137,11304,19,32
16095340,1221,7,64
14332242,2815,25,57
11293258,7839,19,67
16228446,10607,12,69
15379875,4505,17,41
13114243,41,12,39
5169364,12994,22,43
5309320,1221,20,75
10028834,4313,16,63
3081520,17065,16,52
17075932,2846,13,77
13739731,24,14,63
14243837,11298,36,38
11281773,450,10,37
15016037,3113,8,25
11281270,414,14,41
5257551,4637,15,55
5400822,16701,23,59
16049273,7898,25,46
14395363,19,12,45
14078888,8436,13,56
13076430,3700,36,65
11315040,2170,11,69
13435759,5585,8,39
2476225,8333,20,31
11637551,9979,26,59
1731986,4593,16,30
13946697,3671,16,52
13752808,7872,32,51
4322933,7738,14,46
16067166,537,6,38
11346059,3731,16,27
5465324,9989,36,39
13667396,4177,12,36
4593920,11379,14,64
12876860,21538,33,50
11286678,848,24,72
14552712,869,14,36
12966686,828,27,47
100407970,4209,15,65
2129537,6045,12,53
4072122,425,22,64
14460316,4140,19,43
13023305,450,6,42
10022595,1934,10,21
4627128,4672,17,46
11411516,16858,33,40
4010530,1489,10,26
15991465,13472,44,59
3883942,4580,29,61
16548181,2666,5,26
5167439,9518,32,51
1783340,3338,18,29
13785570,28915,27,77
1677380,15144,42,70
11442433,10726,30,60
100127180,1034,21,31
10702174,8952,34,75
15951404,9589,35,64
17031994,1788,22,78
16296827,16474,35,51
4175715,4864,13,55
5187351,7628,16,64
14540839,8621,14,45
3316742,9601,21,53
2546987,2799,8,46
1689993,11473,13,77
14119939,19894,23,57
11491973,8582,15,63
16159882,10076,29,69
14911759,2495,10,26
12907499,3617,14,23
14526079,315,10,31
14745704,8986,23,23
14453841,771,13,29
4176451,4739,7,35
14781636,6725,18,32
14532440,4143,16,58
14276563,5624,19,46
100066772,10372,17,65
11314479,25139,22,46
10337185,1382,13,25
11613123,6726,18,28
2090178,9103,21,48
13094063,15160,17,82
13576908,16995,63,46
11399267,16041,24,43
2830998,11529,17,70
3328120,17607,15,52
4063558,5866,20,69
4743888,1431,15,68
16212558,2633,27,42
10330917,27865,36,60
5318513,24455,18,45
14605525,1260,24,53
14606467,1615,10,46
13903287,2197,6,29
16016544,1785,7,32
14936409,2481,7,38
14631879,1397,9,20
10353266,82,7,49
11458822,1582,3,39
10267061,9085,11,32
5208274,8390,19,42
13514271,1539,13,37
13582106,3040,26,40
10043201,15171,17,62
13806788,731,12,50
4116625,3271,17,53
14361398,4912,13,37
13172651,38705,29,26
15980608,3566,10,27
15269876,978,19,30
14980150,7474,17,52
3834563,52,13,42
2444213,2008,16,28
4428375,6769,2,30
12955985,9899,27,48
11553148,2026,47,36
14272602,2074,10,31
3066162,12166,17,53
1751287,331,9,29
1928786,9487,12,41
4257397,17531,39,45
14541436,1527,16,28
11386835,2475,8,76
16958823,1565,26,61
13186209,764,21,67
3162895,1299,31,38
13435606,3583,20,58
14196980,35824,44,65
13135600,13547,17,64
5398208,1490,15,43
11502135,2821,23,48
10737468,4466,22,45
4029450,7866,26,52
17160425,8030,25,63
13787112,4576,29,40
13057420,918,21,53
3663918,4798,13,41
14615858,4012,20,28
11529643,5223,11,53
11435933,6679,22,31
100253000,14594,40,41
15770636,2130,7,32
13137145,6674,19,38
1564964,8798,41,31
4639255,11310,36,56
15893233,20029,27,38
1338454,10446,21,46
3081435,28518,24,65
4515414,18823,17,47
16723786,4369,13,27
10337210,9433,14,75
13237688,4423,20,39
14562813,2390,12,36
14168906,7080,32,77
2698477,17586,17,60
4607726,15301,28,60
15228026,2999,8,21
14968959,10863,17,36
12973420,17362,47,27
5363457,15849,16,71
3802206,42583,49,56
5183602,6976,15,50
13935650,4614,10,20
14155371,2398,8,30
14719367,3048,14,43
12875509,14570,16,38
5463656,5263,24,66
12826386,4273,29,35
2096517,24635,19,66
14912120,61237,42,59
10339823,6122,13,28
13580736,2369,20,59
14461318,16163,33,38
10268122,23259,22,84
5441632,146,36,37
11626009,2616,14,43
10020247,7266,27,33
13902681,4144,17,52
14808537,16871,43,68
14606062,3716,30,58
4065639,3080,23,50
14518841,1396,27,38
13706510,6756,36,42
11281919,104456,62,85
16066441,6998,8,41
13066654,6201,7,25
13460270,10895,24,25
13844964,10890,10,66
11313422,651,12,40
13235728,1746,13,21
