MATCHKEY,BRNEW,BRAGE
14885550,13,173
3906107,41,153
11341091,4,206
4606598,12,79
4468828,2,115
5372175,11,138
4504714,12,160
3722535,13,78
12946557,8,111
14532919,7,51
16863854,49,355
4658661,23,200
14525676,4,75
14552548,1,127
3267611,81,145
3380958,7,337
